source,target,weight,distance,electrode
e0_t131,e0_t135,0.0667,4,FP1
e0_t131,e0_t142,0.0667,11,FP1
e0_t136,e0_t142,0.0667,6,FP1
e0_t138,e0_t141,0.0667,3,FP1
e0_t153,e0_t225,0.0667,72,FP1
e0_t153,e0_t231,0.0667,78,FP1
e0_t154,e0_t220,0.0667,66,FP1
e0_t154,e0_t225,0.0667,71,FP1
e0_t155,e0_t157,0.0667,2,FP1
e0_t159,e0_t220,0.0667,61,FP1
e0_t160,e0_t199,0.0667,39,FP1
e0_t160,e0_t212,0.0667,52,FP1
e0_t161,e0_t164,0.1333,3,FP1
e0_t161,e0_t199,0.0667,38,FP1
e0_t162,e0_t164,0.0667,2,FP1
e0_t165,e0_t199,0.0667,34,FP1
e0_t166,e0_t167,0.1333,1,FP1
e0_t166,e0_t172,0.0667,6,FP1
e0_t166,e0_t199,0.0667,33,FP1
e0_t167,e0_t171,0.0667,4,FP1
e0_t168,e0_t171,0.0667,3,FP1
e0_t180,e0_t181,0.1333,1,FP1
e0_t186,e0_t198,0.0667,12,FP1
e0_t187,e0_t191,0.0667,4,FP1
e0_t188,e0_t190,0.0667,2,FP1
e0_t192,e0_t198,0.0667,6,FP1
e0_t193,e0_t197,0.0667,4,FP1
e0_t193,e0_t198,0.0667,5,FP1
e0_t195,e0_t197,0.0667,2,FP1
e0_t199,e0_t211,0.0667,12,FP1
e0_t200,e0_t211,0.0667,11,FP1
e0_t202,e0_t205,0.0667,3,FP1
e0_t206,e0_t210,0.0667,4,FP1
e0_t214,e0_t219,0.0667,5,FP1
e0_t215,e0_t218,0.1333,3,FP1
e0_t220,e0_t224,0.1333,4,FP1
e0_t221,e0_t224,0.1333,3,FP1
e0_t227,e0_t229,0.0667,2,FP1
e0_t227,e0_t230,0.1333,3,FP1
e0_t230,e0_t231,0.2,1,FP1
e0_t233,e0_t236,0.1333,3,FP1
e0_t239,e0_t243,0.0667,4,FP1
e0_t240,e0_t243,0.0667,3,FP1
e0_t245,e0_t255,0.0667,10,FP1
e0_t246,e0_t247,0.1333,1,FP1
e0_t246,e0_t249,0.0667,3,FP1
